Entity Name,Category,Description,Image,Link,Area,Sub Area,Story,WIki,Size
Adam Waterous,Build Canada Contributor,"Adam Waterous is the co-founder, Managing Partner, and CEO of the Waterous Energy Fund, a Calgary-based private equity firm investing in Canadian oil & gas. 

He is also Executive Chairman of Strathcona Resources, a public energy producer built via consolidation, and has strong ties to the Conservative Party through fundraising and donations.",https://i.ibb.co/Tq8SxKdB/water.png,,,,Build Canada,,6
AI Strategy Task Force,GROUP,DESCRIPTION,https://vectorinstitute.ai/wp-content/uploads/2019/12/aileaf_listview.jpg,,,,Build Canada,,4
Aidan Gomez,GROUP,DESCRIPTION,,,,,Build Canada,,2
Aidan Tracey,Build Canada Supporter,,https://www.nextcanada.com/wp-content/uploads/2020/06/Aiden_T.jpg,,,,Build Canada,,6
Alan Gertner,GROUP,DESCRIPTION,,,,,Build Canada,,2
America First Action PAC,GROUP,DESCRIPTION,https://ballotpedia.s3.amazonaws.com/images/thumb/7/7d/America_First_Action.jpg/150px-America_First_Action.jpg,,,,Build Canada,,3
Ana Curic,Build Canada Team,Public affairs and communications consultant associated with Maple Leaf Strategies. She previously worked in government communications.,https://i.ibb.co/pjPChv5v/uric.png,,,,Build Canada,,2
Andrew Graham,Build Canada Contributor,DESCRIPTION,,,,,Build Canada,,2
Andrew Lawton,GROUP,DESCRIPTION,https://i.cbc.ca/1.4595240.1522248304!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_780/andrew-lawton.jpg,,,,Build Canada,,8
Andrew Potter,Build Canada Contributor,Andrew Potter is a journalist and academic. He has written for Canadian media and been associated with McGill Institute for the Study of Canada.,https://i.ibb.co/jvGXbpnF/pot.png,,,,Build Canada,,3
Anthony Lacavera,Build Canada Supporter,,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2023/01/lacavera-vw0123.jpg?quality=90&strip=all&w=288&h=216&sig=Th0S3L77mosH6EQfZi6Lig,,,,Build Canada,,4
Barry Zekelman,Build Canada Contributor,"Barry Zekelman is the owner of Zekelman Industries, a large North American steel pipe and tube manufacturer.",https://i.ibb.co/3mdkBtvR/zek.png,,,,Build Canada,,6
Ben Parry,Build Canada Team,DESCRIPTION,,,,,Build Canada,,2
Benjamin Alarie,Build Canada Contributor,"Benjamin Alarie is a law professor at the University of Toronto, where he researches taxation, judicial decision-making, and AI in legal contexts. 

He is affiliated with the Vector Institute and the Schwartz Reisman Institute, and co-authored The Legal Singularity, exploring how AI could transform law.",https://i.ibb.co/xSpMNDy0/bena.png,,,,Build Canada,,4
Boris Wertz,Build Canada Contributor,DESCRIPTION,,,,,Build Canada,,2
Borrowell,GROUP,"Canadian fintech company providing credit reports, loans and personal finance tools.",https://play-lh.googleusercontent.com/-uPLOQDo-qXatsPTTgs4ona7X-RrqsZUOEh0i4OZYeNmnCJFbHyeZ1kxKev73OoX0VvN,,,,Build Canada,,4
Brad Carr,Build Canada Contributor,DESCRIPTION,https://i.ibb.co/sdR5XBg0/bradc.png,,,,Build Canada,,2
Brian Lee Crowley,GROUP,DESCRIPTION,,,,,Build Canada,,3
Brice Scheschuk,Build Canada Supporter,,https://i.ibb.co/60TDsqhD/rice.png,,,,Build Canada,,3
Build Canada,GROUP,"Build Canada claims to be a non-partisan civic movement that aims to empower “builders” — entrepreneurs, creators, and innovators — to reshape Canada. Its members (seemingly volunteer based) share an anti-government, pro-industry vision of the future. Their political leanings range from centrist tech bros to right-wing tech bros.",https://i.ibb.co/TGDqSYX/BC.png,,,,Build Canada,,68
Build Toronto,Build Canada Group,DESCRIPTION,https://i.ibb.co/rY0yVds/btor.png,,,,Build Canada,,11
