Source,Target,Size,Source,Note,A Count,B Count,A,B
Aidan Tracey,ABInBev,2,https://www.tracxtion.com/leadership,,6,1,,
Adam Waterous,Build Canada,2,https://www.buildcanada.com/en/memos,,6,68,Adam Waterous,Build Canada
Adam Waterous,Conservative Party of Canada,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,6,11,Adam Waterous,Conservative Party of Canada
Aidan Tracey,Mosaic,2,https://www.tracxtion.com/leadership,,6,1,,
Adam Waterous,Pierre Poilievre,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,6,5,Adam Waterous,Pierre Poilievre
Aidan Tracey,Procter & Gamble,2,https://www.tracxtion.com/leadership,,6,1,,
Aidan Tracey,sgs&co,2,https://www.tracxtion.com/leadership,,6,1,,
Adam Waterous,Strathcona Resources,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,6,6,Adam Waterous,Strathcona Resources
Adam Waterous,Waterous Energy Fund,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,6,3,Adam Waterous,Waterous Energy Fund
Aidan Tracey,Build Canada,2,https://www.buildcanada.com/memos,,6,68,Aidan Tracey,Build Canada
Aidan Tracey,Tracxtion,2,https://www.tracxtion.com/leadership,,6,1,,
Amanda Rose,Build Canada,2,https://www.buildcanada.com/en/about,,1,68,,
Ana Curic,Build Canada,5,https://www.buildcanada.com/en/about,,2,68,Ana Curic,Build Canada
Ana Curic,Maple Leaf Strategies,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,2,5,Ana Curic,Maple Leaf Strategies
Andrew Graham,Borrowell,2,https://www.buildcanada.com/en/about,,2,4,Andrew Graham,Borrowell
Andrew Graham,Build Canada,2,https://www.buildcanada.com/en/memos,,2,68,Andrew Graham,Build Canada
Andrew Potter,Build Canada,2,https://www.buildcanada.com/en/about,,3,68,Andrew Potter,Build Canada
Andrew Potter,McGill Institute for the Study of Canada,2,https://en.wikipedia.org/wiki/Andrew_Potter,,3,1,,
Andrew Potter,Ottawa Citizen,2,https://en.wikipedia.org/wiki/Andrew_Potter,,3,1,,
Barry Zekelman,Build Canada,2,https://www.buildcanada.com/en/memos,,6,68,Barry Zekelman,Build Canada
Barry Zekelman,Zekelman Industries,2,https://www.buildcanada.com/en/about,,6,7,Barry Zekelman,Zekelman Industries
Ben Parry,Build Canada,5,https://www.buildcanada.com/en/about,,2,68,Ben Parry,Build Canada
